City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,dunedin,-45.8742,-45.8742,58.06,55.8,4,7.0,NZ,1694129427
203,clarkston heights-vineland,46.3874,46.3874,87.44,79.11,0,4.61,US,1694129427
204,purushottampur,19.5333,19.5333,78.91,78.91,100,0.74,IN,1694129428
205,sao raimundo nonato,-9.0153,-9.0153,78.66,78.66,6,3.96,BR,1694129428
206,geraldton,-28.7667,-28.7667,55.81,55.81,0,14.97,AU,1694129429
207,crane,31.3974,31.3974,98.11,98.11,0,10.71,US,1694129429
208,glendive,47.1053,47.1053,82.76,80.19,0,17.27,US,1694129430
209,albany,42.6001,42.6001,79.45,70.88,37,12.3,US,1694129430
210,al hoceima,35.2433,35.2433,72.63,72.63,0,8.05,MA,1694129431
211,berezovyy,51.6667,51.6667,70.11,70.11,100,10.6,RU,1694129431
212,kikwit,-5.041,-5.041,79.18,79.18,28,1.01,CD,1694129432
213,motygino,58.1831,58.1831,48.74,48.74,100,3.56,RU,1694129433
214,fort st. john,56.2499,56.2499,66.09,66.09,40,14.97,CA,1694129233
215,pitimbu,-7.4706,-7.4706,75.79,75.79,34,7.05,BR,1694129435
216,maxixe,-23.8597,-23.8597,69.89,69.89,41,5.93,MZ,1694129435
217,ussel,45.55,45.55,63.27,63.27,8,3.83,FR,1694129436
218,haiku-pauwela,20.9219,20.9219,84.22,80.51,20,14.97,US,1694129438
219,zouerate,22.7187,22.7187,92.91,92.91,59,14.2,MR,1694129438
220,brasileia,-11.0161,-11.0161,90.05,90.05,20,0.0,BR,1694129439
221,nunkini,20.3333,20.3333,85.32,85.32,74,11.07,MX,1694129439
222,dhidhdhoo,6.8833,6.8833,81.93,81.93,100,13.13,MV,1694129441
223,bredasdorp,-34.5322,-34.5322,49.46,49.46,89,2.86,ZA,1694129441
224,la tuque,47.4334,47.4334,79.05,79.05,51,3.44,CA,1694129442
225,mongagua,-24.0931,-24.0931,72.66,72.66,98,0.54,BR,1694129442
226,codrington,-38.2667,-38.2667,46.98,46.98,100,33.02,AU,1694129443
227,ancud,-41.8697,-41.8697,49.39,49.39,100,15.84,CL,1694129443
228,fale old settlement,-9.3852,-9.3852,83.01,83.01,58,11.72,TK,1694129444
229,hilo,19.7297,19.7297,91.27,77.47,75,10.36,US,1694129445
230,saint-philippe,-21.3585,-21.3585,71.19,65.1,72,1.41,RE,1694129446
231,geneina,13.45,13.45,80.85,80.85,84,8.19,SD,1694129446
232,poronaysk,49.2167,49.2167,72.28,72.28,41,9.93,RU,1694129447
233,sinabang,2.4803,2.4803,79.09,79.09,94,0.98,ID,1694129447
234,jwaneng,-24.6004,-24.6004,63.59,63.59,100,5.73,BW,1694129448
235,scottsbluff,41.8666,41.8666,88.92,84.56,3,11.01,US,1694129407
236,minas de marcona,-15.2119,-15.2119,63.25,63.25,3,4.09,PE,1694129450
237,benguela,-12.5763,-12.5763,67.84,67.84,11,12.71,AO,1694129450
238,cassilandia,-19.1133,-19.1133,78.85,78.85,26,5.5,BR,1694129452
239,lucerne valley,34.4439,34.4439,90.77,79.9,0,11.61,US,1694129452
240,nova sintra,14.8667,14.8667,76.19,76.19,78,23.35,CV,1694129453
241,nuuk,64.1835,64.1835,38.01,36.88,100,6.91,GL,1694129453
242,bengkulu,-3.8004,-3.8004,74.7,74.7,83,3.04,ID,1694129454
243,karratha,-20.7377,-20.7377,72.41,72.41,2,14.83,AU,1694129454
244,reyes,-14.3167,-14.3167,83.12,83.12,53,3.69,BO,1694129455
245,sandnessjoen,66.0217,66.0217,57.72,57.72,100,24.87,NO,1694129456
246,las juntas,19.4167,19.4167,85.53,85.53,68,4.27,MX,1694129457
247,yeppoon,-23.1333,-23.1333,74.98,74.98,71,5.75,AU,1694129458
248,gaalkacyo,6.7697,6.7697,77.29,77.29,47,18.9,SO,1694129458
249,zeya,53.75,53.75,41.88,41.88,78,14.09,RU,1694129459
250,port-vila,-17.7338,-17.7338,78.4,78.4,75,12.66,VU,1694129448
251,holualoa,19.6228,19.6228,83.55,78.49,20,10.36,US,1694129460
252,ahmadpur east,29.1431,29.1431,87.71,87.71,0,3.98,PK,1694129461
